phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,Mapped types,TypeScript,learning/reference,Mapped types,Transform property types without confusing type changes with runtime changes.,JavaScript; runtime; compiler,How do I use Mapped types?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,Interfaces & type aliases,TypeScript,learning/reference,Interfaces & type aliases,Choose interfaces or type aliases to suit your data and public APIs.,JavaScript; runtime; compiler,How do I use Interfaces & type aliases?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/http-clients/,HTTP clients & external APIs,TypeScript,learning/reference,HTTP clients & external APIs,"Build an HTTP client that checks responses and handles failures, retries, and cancellation.",JavaScript; runtime; compiler,How do I use HTTP clients & external APIs?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,Migrating JavaScript safely,TypeScript,learning/reference,Migrating JavaScript safely,"Adopt TypeScript a step at a time with checked JavaScript, JSDoc, and typed boundaries.",JavaScript; runtime; compiler,How do I use Migrating JavaScript safely?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/variance/,Variance & function compatibility,TypeScript,learning/reference,Variance & function compatibility,Debug callback assignability using the values an implementation can actually handle.,JavaScript; runtime; compiler,How do I use Variance & function compatibility?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,"Assertions, as const & satisfies",TypeScript,learning/reference,"Assertions, as const & satisfies","Compare annotations, assertions, const assertions, and satisfies.",JavaScript; runtime; compiler,"How do I use Assertions, as const & satisfies?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,Declaration files,TypeScript,learning/reference,Declaration files,"Read, write, and test declaration files that describe JavaScript APIs.",JavaScript; runtime; compiler,How do I use Declaration files?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/compiler-tooling/,"Compiler, language service & LSP",TypeScript,learning/reference,"Compiler, language service & LSP",Learn how the compiler and language service produce diagnostics and editor feedback.,JavaScript; runtime; compiler,"How do I use Compiler, language service & LSP?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/runtime-validation/,Runtime validation & trusted boundaries,TypeScript,learning/reference,Runtime validation & trusted boundaries,Parse external data before using it as a trusted application value.,JavaScript; runtime; compiler,How do I use Runtime validation & trusted boundaries?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/library-design/,Designing library APIs,TypeScript,learning/reference,Designing library APIs,"Build APIs with useful inference, clear diagnostics, and stable behavior.",JavaScript; runtime; compiler,How do I use Designing library APIs?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,Template literal types,TypeScript,learning/reference,Template literal types,Define event names and route patterns with string literal types.,JavaScript; runtime; compiler,How do I use Template literal types?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,Configuring TypeScript,TypeScript,learning/reference,Configuring TypeScript,"Choose compiler settings for your runtime, build, and packages.",JavaScript; runtime; compiler,How do I use Configuring TypeScript?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,JavaScript values & TypeScript types,TypeScript,learning/reference,JavaScript values & TypeScript types,Separate runtime values from static types and learn when inference is enough.,JavaScript; runtime; compiler,How do I use JavaScript values & TypeScript types?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/async/,Async TypeScript & cancellation,TypeScript,learning/reference,Async TypeScript & cancellation,Understand promises and scheduling before modeling concurrent operations.,JavaScript; runtime; compiler,How do I use Async TypeScript & cancellation?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/setup/,Modern TypeScript setup,TypeScript,learning/reference,Modern TypeScript setup,"Set up a project, check your code, and run the JavaScript it produces.",JavaScript; runtime; compiler,How do I use Modern TypeScript setup?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/shipping/,Shipping & maintaining TypeScript,TypeScript,learning/reference,Shipping & maintaining TypeScript,Build reproducible releases and check that upgrades preserve your public APIs.,JavaScript; runtime; compiler,How do I use Shipping & maintaining TypeScript?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/workspaces/,Workspaces & project boundaries,TypeScript,learning/reference,Workspaces & project boundaries,Organize packages and builds so dependencies stay clear as the repository grows.,JavaScript; runtime; compiler,How do I use Workspaces & project boundaries?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/testing/,Runtime tests & type tests,TypeScript,learning/reference,Runtime tests & type tests,"Test runtime behavior, inferred types, rejected inputs, and integrations.",JavaScript; runtime; compiler,How do I use Runtime tests & type tests?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,"Objects, arrays & tuples",TypeScript,learning/reference,"Objects, arrays & tuples","Describe objects and collections, and understand how mutation affects them.",JavaScript; runtime; compiler,"How do I use Objects, arrays & tuples?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/architecture/,Architecture for large TypeScript systems,TypeScript,learning/reference,Architecture for large TypeScript systems,"Separate domain rules, application services, and adapters with clear dependencies.",JavaScript; runtime; compiler,How do I use Architecture for large TypeScript systems?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/runtime-safety/,Type safety versus runtime safety,TypeScript,learning/reference,Type safety versus runtime safety,Learn where static checks fall short and which runtime checks you still need.,JavaScript; runtime; compiler,How do I use Type safety versus runtime safety?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/structural-typing/,Structural typing & assignability,TypeScript,learning/reference,Structural typing & assignability,Understand why object types are compatible and when excess property checks apply.,JavaScript; runtime; compiler,How do I use Structural typing & assignability?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/node-application/,Building a Node.js application,TypeScript,learning/reference,Building a Node.js application,"Build a Node.js app with configuration, files, HTTP, logs, and graceful shutdown.",JavaScript; runtime; compiler,How do I use Building a Node.js application?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/exhaustiveness/,Discriminated unions & exhaustiveness,TypeScript,learning/reference,Discriminated unions & exhaustiveness,Describe valid states and catch missing cases when they change.,JavaScript; runtime; compiler,How do I use Discriminated unions & exhaustiveness?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/functions/,Functions & callbacks,TypeScript,learning/reference,Functions & callbacks,Write functions and callbacks with clear inputs and return types.,JavaScript; runtime; compiler,How do I use Functions & callbacks?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/errors-and-null/,Errors & nullable values,TypeScript,learning/reference,Errors & nullable values,Handle missing values and errors with exceptions and result types.,JavaScript; runtime; compiler,How do I use Errors & nullable values?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/narrowing/,"Unions, literals & narrowing",TypeScript,learning/reference,"Unions, literals & narrowing",Use runtime evidence and control flow to make union types useful.,JavaScript; runtime; compiler,"How do I use Unions, literals & narrowing?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/advanced-design/,Practical advanced types,TypeScript,learning/reference,Practical advanced types,"Use brands, builders, recursion, and type-state when they make an API easier to use.",JavaScript; runtime; compiler,How do I use Practical advanced types?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/performance/,Compiler & editor performance,TypeScript,learning/reference,Compiler & editor performance,Find what slows the compiler or editor before changing your types.,JavaScript; runtime; compiler,How do I use Compiler & editor performance?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/modules/,"ESM, CommonJS & module resolution",TypeScript,learning/reference,"ESM, CommonJS & module resolution",Follow an import from TypeScript source to the code your runtime loads.,JavaScript; runtime; compiler,"How do I use ESM, CommonJS & module resolution?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/keyof-typeof-indexed-access/,"keyof, typeof & indexed access",TypeScript,learning/reference,"keyof, typeof & indexed access",Keep property names and their values connected in reusable APIs.,JavaScript; runtime; compiler,"How do I use keyof, typeof & indexed access?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/static-analysis/,"Linting, formatting & static analysis",TypeScript,learning/reference,"Linting, formatting & static analysis","Understand what the compiler, linter, formatter, and tests each check.",JavaScript; runtime; compiler,"How do I use Linting, formatting & static analysis?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/conditional-types/,Conditional types & infer,TypeScript,learning/reference,Conditional types & infer,"Use conditional types and infer, and learn when unions distribute.",JavaScript; runtime; compiler,How do I use Conditional types & infer?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/any-unknown-never-void/,"any, unknown, never & void",TypeScript,learning/reference,"any, unknown, never & void","Choose the right meaning for unchecked values, unknown inputs, impossible cases, and ignored returns.",JavaScript; runtime; compiler,"How do I use any, unknown, never & void?",,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/reference/,TypeScript reference,TypeScript,learning/reference,TypeScript reference,"Find TypeScript concepts, common errors, and the lesson that explains them.",JavaScript; runtime; compiler,How do I use TypeScript reference?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/,Learn TypeScript.Build appsand libraries.,TypeScript,learning/reference,Learn TypeScript.Build appsand libraries.,"A free, self-guided TypeScript course: 36 lessons, five builds, verified examples, and a production capstone. JavaScript underneath. Types above it.",JavaScript; runtime; compiler,How do I use Learn TypeScript.Build appsand libraries.?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/research/,Sources & versions,TypeScript,learning/reference,Sources & versions,"The course's verified TypeScript baseline, evidence ledger, and release status.",JavaScript; runtime; compiler,How do I use Sources & versions?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/course/,Your TypeScriptlearning path.,TypeScript,learning/reference,Your TypeScriptlearning path.,"All 36 TypeScript lessons and five milestone builds in order, with local progress and clear checkpoints.",JavaScript; runtime; compiler,How do I use Your TypeScriptlearning path.?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/tracks/,Optional specialization tracks,TypeScript,learning/reference,Optional specialization tracks,"Continue into backend, frontend, library, type-level, tooling, or enterprise TypeScript.",JavaScript; runtime; compiler,How do I use Optional specialization tracks?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/about/,About the course,TypeScript,learning/reference,About the course,How to study this independent TypeScript course and verify your work.,JavaScript; runtime; compiler,How do I use About the course?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/builds/package-consumer/,Build 4: package & independent consumer,TypeScript,learning/reference,Build 4: package & independent consumer,Prepare a releasable package and prove its runtime and declaration contracts from a fresh install.,JavaScript; runtime; compiler,How do I use Build 4: package & independent consumer?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/builds/capstone/,Capstone: typed job execution platform,TypeScript,learning/reference,Capstone: typed job execution platform,"Design, implement, test, package, and operate a complete job system through explicit milestones.",JavaScript; runtime; compiler,How do I use Capstone: typed job execution platform?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/builds/data-utility/,Build 1: command-line data utility,TypeScript,learning/reference,Build 1: command-line data utility,"Parse a local job file, reject malformed input, and print an honest summary.",JavaScript; runtime; compiler,How do I use Build 1: command-line data utility?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/builds/library-cli/,Build 2: reusable library & CLI,TypeScript,learning/reference,Build 2: reusable library & CLI,"Extract domain behavior, preserve inference, and test both runtime and public type contracts.",JavaScript; runtime; compiler,How do I use Build 2: reusable library & CLI?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/builds/application/,Build 3: validated HTTP application,TypeScript,learning/reference,Build 3: validated HTTP application,"Build a bounded, observable Node service with a real external boundary and graceful lifecycle.",JavaScript; runtime; compiler,How do I use Build 3: validated HTTP application?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/generics/,Generics & type relationships,TypeScript,learning/reference,Generics & type relationships,Design reusable functions whose outputs retain useful information about their inputs.,JavaScript; runtime; compiler,How do I use Generics & type relationships?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/publishing/,Publishing typed packages,TypeScript,learning/reference,Publishing typed packages,"Test the tarball that consumers install, including exports, declarations, and compatibility.",JavaScript; runtime; compiler,How do I use Publishing typed packages?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/mapped-types/,Mapped types,TypeScript,learning/reference,Mapped types,Transform property types without confusing type changes with runtime changes.,JavaScript; runtime; compiler,How do I use Mapped types?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,Interfaces & type aliases,TypeScript,learning/reference,Interfaces & type aliases,Choose interfaces or type aliases to suit your data and public APIs.,JavaScript; runtime; compiler,How do I use Interfaces & type aliases?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/http-clients/,HTTP clients & external APIs,TypeScript,learning/reference,HTTP clients & external APIs,"Build an HTTP client that checks responses and handles failures, retries, and cancellation.",JavaScript; runtime; compiler,How do I use HTTP clients & external APIs?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/javascript-migration/,Migrating JavaScript safely,TypeScript,learning/reference,Migrating JavaScript safely,"Adopt TypeScript a step at a time with checked JavaScript, JSDoc, and typed boundaries.",JavaScript; runtime; compiler,How do I use Migrating JavaScript safely?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/variance/,Variance & function compatibility,TypeScript,learning/reference,Variance & function compatibility,Debug callback assignability using the values an implementation can actually handle.,JavaScript; runtime; compiler,How do I use Variance & function compatibility?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,"Assertions, as const & satisfies",TypeScript,learning/reference,"Assertions, as const & satisfies","Compare annotations, assertions, const assertions, and satisfies.",JavaScript; runtime; compiler,"How do I use Assertions, as const & satisfies?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/declaration-files/,Declaration files,TypeScript,learning/reference,Declaration files,"Read, write, and test declaration files that describe JavaScript APIs.",JavaScript; runtime; compiler,How do I use Declaration files?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/compiler-tooling/,"Compiler, language service & LSP",TypeScript,learning/reference,"Compiler, language service & LSP",Learn how the compiler and language service produce diagnostics and editor feedback.,JavaScript; runtime; compiler,"How do I use Compiler, language service & LSP?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/runtime-validation/,Runtime validation & trusted boundaries,TypeScript,learning/reference,Runtime validation & trusted boundaries,Parse external data before using it as a trusted application value.,JavaScript; runtime; compiler,How do I use Runtime validation & trusted boundaries?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/library-design/,Designing library APIs,TypeScript,learning/reference,Designing library APIs,"Build APIs with useful inference, clear diagnostics, and stable behavior.",JavaScript; runtime; compiler,How do I use Designing library APIs?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/template-literal-types/,Template literal types,TypeScript,learning/reference,Template literal types,Define event names and route patterns with string literal types.,JavaScript; runtime; compiler,How do I use Template literal types?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/tsconfig/,Configuring TypeScript,TypeScript,learning/reference,Configuring TypeScript,"Choose compiler settings for your runtime, build, and packages.",JavaScript; runtime; compiler,How do I use Configuring TypeScript?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/values-and-types/,JavaScript values & TypeScript types,TypeScript,learning/reference,JavaScript values & TypeScript types,Separate runtime values from static types and learn when inference is enough.,JavaScript; runtime; compiler,How do I use JavaScript values & TypeScript types?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/async/,Async TypeScript & cancellation,TypeScript,learning/reference,Async TypeScript & cancellation,Understand promises and scheduling before modeling concurrent operations.,JavaScript; runtime; compiler,How do I use Async TypeScript & cancellation?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/setup/,Modern TypeScript setup,TypeScript,learning/reference,Modern TypeScript setup,"Set up a project, check your code, and run the JavaScript it produces.",JavaScript; runtime; compiler,How do I use Modern TypeScript setup?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/shipping/,Shipping & maintaining TypeScript,TypeScript,learning/reference,Shipping & maintaining TypeScript,Build reproducible releases and check that upgrades preserve your public APIs.,JavaScript; runtime; compiler,How do I use Shipping & maintaining TypeScript?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/workspaces/,Workspaces & project boundaries,TypeScript,learning/reference,Workspaces & project boundaries,Organize packages and builds so dependencies stay clear as the repository grows.,JavaScript; runtime; compiler,How do I use Workspaces & project boundaries?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/testing/,Runtime tests & type tests,TypeScript,learning/reference,Runtime tests & type tests,"Test runtime behavior, inferred types, rejected inputs, and integrations.",JavaScript; runtime; compiler,How do I use Runtime tests & type tests?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,"Objects, arrays & tuples",TypeScript,learning/reference,"Objects, arrays & tuples","Describe objects and collections, and understand how mutation affects them.",JavaScript; runtime; compiler,"How do I use Objects, arrays & tuples?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/architecture/,Architecture for large TypeScript systems,TypeScript,learning/reference,Architecture for large TypeScript systems,"Separate domain rules, application services, and adapters with clear dependencies.",JavaScript; runtime; compiler,How do I use Architecture for large TypeScript systems?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/runtime-safety/,Type safety versus runtime safety,TypeScript,learning/reference,Type safety versus runtime safety,Learn where static checks fall short and which runtime checks you still need.,JavaScript; runtime; compiler,How do I use Type safety versus runtime safety?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/structural-typing/,Structural typing & assignability,TypeScript,learning/reference,Structural typing & assignability,Understand why object types are compatible and when excess property checks apply.,JavaScript; runtime; compiler,How do I use Structural typing & assignability?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/node-application/,Building a Node.js application,TypeScript,learning/reference,Building a Node.js application,"Build a Node.js app with configuration, files, HTTP, logs, and graceful shutdown.",JavaScript; runtime; compiler,How do I use Building a Node.js application?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/exhaustiveness/,Discriminated unions & exhaustiveness,TypeScript,learning/reference,Discriminated unions & exhaustiveness,Describe valid states and catch missing cases when they change.,JavaScript; runtime; compiler,How do I use Discriminated unions & exhaustiveness?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/functions/,Functions & callbacks,TypeScript,learning/reference,Functions & callbacks,Write functions and callbacks with clear inputs and return types.,JavaScript; runtime; compiler,How do I use Functions & callbacks?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/errors-and-null/,Errors & nullable values,TypeScript,learning/reference,Errors & nullable values,Handle missing values and errors with exceptions and result types.,JavaScript; runtime; compiler,How do I use Errors & nullable values?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/narrowing/,"Unions, literals & narrowing",TypeScript,learning/reference,"Unions, literals & narrowing",Use runtime evidence and control flow to make union types useful.,JavaScript; runtime; compiler,"How do I use Unions, literals & narrowing?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/advanced-design/,Practical advanced types,TypeScript,learning/reference,Practical advanced types,"Use brands, builders, recursion, and type-state when they make an API easier to use.",JavaScript; runtime; compiler,How do I use Practical advanced types?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/performance/,Compiler & editor performance,TypeScript,learning/reference,Compiler & editor performance,Find what slows the compiler or editor before changing your types.,JavaScript; runtime; compiler,How do I use Compiler & editor performance?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/modules/,"ESM, CommonJS & module resolution",TypeScript,learning/reference,"ESM, CommonJS & module resolution",Follow an import from TypeScript source to the code your runtime loads.,JavaScript; runtime; compiler,"How do I use ESM, CommonJS & module resolution?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/keyof-typeof-indexed-access/,"keyof, typeof & indexed access",TypeScript,learning/reference,"keyof, typeof & indexed access",Keep property names and their values connected in reusable APIs.,JavaScript; runtime; compiler,"How do I use keyof, typeof & indexed access?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/static-analysis/,"Linting, formatting & static analysis",TypeScript,learning/reference,"Linting, formatting & static analysis","Understand what the compiler, linter, formatter, and tests each check.",JavaScript; runtime; compiler,"How do I use Linting, formatting & static analysis?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/conditional-types/,Conditional types & infer,TypeScript,learning/reference,Conditional types & infer,"Use conditional types and infer, and learn when unions distribute.",JavaScript; runtime; compiler,How do I use Conditional types & infer?,,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/lessons/any-unknown-never-void/,"any, unknown, never & void",TypeScript,learning/reference,"any, unknown, never & void","Choose the right meaning for unchecked values, unknown inputs, impossible cases, and ignored returns.",JavaScript; runtime; compiler,"How do I use any, unknown, never & void?",,see content review,keep topic-specific verified examples
after,https://typescript.robertdevore.com/reference/,TypeScript reference,TypeScript,learning/reference,TypeScript reference,"Find TypeScript concepts, common errors, and the lesson that explains them.",JavaScript; runtime; compiler,How do I use TypeScript reference?,,see content review,keep topic-specific verified examples
