phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action,author,breadcrumbs,broken_external_links,broken_internal_links,canonical,canonical_target_status,content_hash,description_length,duplicate_description,duplicate_title,external_outbound_links,image_count,indexable,internal_inbound_links,internal_outbound_links,issues,lang,local_status,meta_description,missing_alt,missing_dimensions,orphan,page_depth,production_status,robots_directives,schema_types,sitemap_included,title,title_length
baseline,https://typescript.robertdevore.com/lessons/generics/,content/lessons/11-generics.md,lessons,Design reusable functions whose outputs retain useful information about their inputs.,learn and practice,developers with basic programming familiarity,Generics & type relationships,Generics & type relationships,Where you are;Mental model;JavaScript reality;TypeScript model;Working example;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources;Type explorer,Generics & type relationships,"[[""h1"", ""Generics & type relationships""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",829,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/generics/,200,7a2952e3e331c430027fd2fdb7c10623bd9a59fc10c3ea2a486feba1d5134a4d,85,False,False,4,0,True,59,73,"no structured data (opportunity, not search requirement)",en,200,Design reusable functions whose outputs retain useful information about their inputs.,0,0,False,2,200,,,True,Generics & type relationships · TypeScript Course,49
baseline,https://typescript.robertdevore.com/lessons/publishing/,content/lessons/28-publishing.md,lessons,"Test the tarball that consumers install, including exports, declarations, and compatibility.",learn and practice,developers with basic programming familiarity,Publishing typed packages,Publishing typed packages,Where you are;Mental model;Runtime and package-manager reality;TypeScript model;Working example;Package workflow;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources,Publishing typed packages,"[[""h1"", ""Publishing typed packages""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""Runtime and package-manager reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Package workflow""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",727,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/publishing/,200,7360532a5bc25bd2b3359d107a68a2e6e3b2ff831acda852f5b7b4c2e8f783dc,92,False,False,5,0,True,59,74,"no structured data (opportunity, not search requirement)",en,200,"Test the tarball that consumers install, including exports, declarations, and compatibility.",0,0,False,2,200,,,True,Publishing typed packages · TypeScript Course,45
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,content/lessons/13-mapped-types.md,lessons,Transform property types without confusing type changes with runtime changes.,learn and practice,developers with basic programming familiarity,Mapped types,Mapped types,Where you are;Mental model;JavaScript reality;TypeScript model;Working example;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources,Mapped types,"[[""h1"", ""Mapped types""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",789,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/mapped-types/,200,64676c3caa0d40d1c860ac6089c2a1c26924be6206e4e3f102a14265fc0c4aa2,77,False,False,4,0,True,57,72,"no structured data (opportunity, not search requirement)",en,200,Transform property types without confusing type changes with runtime changes.,0,0,False,2,200,,,True,Mapped types · TypeScript Course,32
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,content/lessons/06-interfaces-and-aliases.md,lessons,Choose interfaces or type aliases to suit your data and public APIs.,learn and practice,developers with basic programming familiarity,Interfaces & type aliases,Interfaces & type aliases,Where you are;Mental model;JavaScript reality;TypeScript model;Working example;Type-checker drill;Runtime drill;Professional pattern;Common failure modes;Exercise;Checkpoint;Sources,Interfaces & type aliases,"[[""h1"", ""Interfaces & type aliases""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Common failure modes""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",869,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,200,c546909a24a6aa79fc40fdcc777f99de0e2943b1094c8876912cbb55e9ca81e7,68,False,False,4,0,True,58,73,"no structured data (opportunity, not search requirement)",en,200,Choose interfaces or type aliases to suit your data and public APIs.,0,0,False,2,200,,,True,Interfaces & type aliases · TypeScript Course,45
baseline,https://typescript.robertdevore.com/lessons/http-clients/,content/lessons/22-http-clients.md,lessons,"Build an HTTP client that checks responses and handles failures, retries, and cancellation.",learn and practice,developers with basic programming familiarity,HTTP clients & external APIs,HTTP clients & external APIs,"Where you are;Mental model;JavaScript and HTTP reality;TypeScript model;Working example;Type-checker drill;Retry, pagination, and rate limits;Runtime drill;Exercise;Checkpoint;Sources",HTTP clients & external APIs,"[[""h1"", ""HTTP clients & external APIs""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript and HTTP reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Retry, pagination, and rate limits""], [""h2"", ""Runtime drill""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",810,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/http-clients/,200,86799000917bde154156b357b902df8c0560f31d9880d550d978c902a87c0538,91,False,False,4,0,True,57,72,"no structured data (opportunity, not search requirement)",en,200,"Build an HTTP client that checks responses and handles failures, retries, and cancellation.",0,0,False,2,200,,,True,HTTP clients & external APIs · TypeScript Course,48
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,content/lessons/31-javascript-migration.md,lessons,"Adopt TypeScript a step at a time with checked JavaScript, JSDoc, and typed boundaries.",learn and practice,developers with basic programming familiarity,Migrating JavaScript safely,Migrating JavaScript safely,Where you are;Mental model;JavaScript reality;TypeScript model;Working example;A gradual configuration;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources,Migrating JavaScript safely,"[[""h1"", ""Migrating JavaScript safely""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""A gradual configuration""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",716,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/javascript-migration/,200,4becacf50c124014637fd59a02f4b822ea35699eee7c0dc29ed58b75e907c861,87,False,False,5,0,True,58,73,"no structured data (opportunity, not search requirement)",en,200,"Adopt TypeScript a step at a time with checked JavaScript, JSDoc, and typed boundaries.",0,0,False,2,200,,,True,Migrating JavaScript safely · TypeScript Course,47
baseline,https://typescript.robertdevore.com/lessons/variance/,content/lessons/17-variance.md,lessons,Debug callback assignability using the values an implementation can actually handle.,learn and practice,developers with basic programming familiarity,Variance & function compatibility,Variance & function compatibility,Where you are;Mental model;JavaScript reality;TypeScript model;Working example;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources,Variance & function compatibility,"[[""h1"", ""Variance & function compatibility""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",797,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/variance/,200,0eef2308430adefd9561d2982e23348e4fa9f45d45a03f524476084f46c82ea7,84,False,False,4,0,True,57,73,"no structured data (opportunity, not search requirement)",en,200,Debug callback assignability using the values an implementation can actually handle.,0,0,False,2,200,,,True,Variance & function compatibility · TypeScript Course,53
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,content/lessons/10-assertions-const-satisfies.md,lessons,"Compare annotations, assertions, const assertions, and satisfies.",learn and practice,developers with basic programming familiarity,"Assertions, as const & satisfies","Assertions, as const & satisfies",Where you are;Mental model;JavaScript reality;TypeScript model;Working example;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources;Type explorer,"Assertions, as const & satisfies","[[""h1"", ""Assertions, as const & satisfies""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",781,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,200,82a8326f585b78039199f6791eb96ebea377d0912bc96fde5301d02aa4ade2f6,65,False,False,4,0,True,58,73,"no structured data (opportunity, not search requirement)",en,200,"Compare annotations, assertions, const assertions, and satisfies.",0,0,False,2,200,,,True,"Assertions, as const & satisfies · TypeScript Course",52
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,content/lessons/27-declaration-files.md,lessons,"Read, write, and test declaration files that describe JavaScript APIs.",learn and practice,developers with basic programming familiarity,Declaration files,Declaration files,Where you are;Mental model;JavaScript reality;TypeScript model;Working example;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources;Type explorer,Declaration files,"[[""h1"", ""Declaration files""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",789,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/declaration-files/,200,e90cfa00e7b27ff5b586e9089a4c7750631a378ade0a2173cc19f3505e00ba67,70,False,False,5,0,True,58,73,"no structured data (opportunity, not search requirement)",en,200,"Read, write, and test declaration files that describe JavaScript APIs.",0,0,False,2,200,,,True,Declaration files · TypeScript Course,37
baseline,https://typescript.robertdevore.com/lessons/compiler-tooling/,content/lessons/35-compiler-tooling.md,lessons,Learn how the compiler and language service produce diagnostics and editor feedback.,learn and practice,developers with basic programming familiarity,"Compiler, language service & LSP","Compiler, language service & LSP",Where you are;Mental model;JavaScript and tooling reality;TypeScript 7 model;Working example;Type-checker drill;Runtime drill;Professional pattern;Exercise;Checkpoint;Sources;Type explorer,"Compiler, language service & LSP","[[""h1"", ""Compiler, language service & LSP""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript and tooling reality""], [""h2"", ""TypeScript 7 model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",748,,,"compiler-run examples, real diagnostics, exercises, linked source",human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/lessons/compiler-tooling/,200,ce16578dee2a9590149e95ee75acf5767186f985d176d1dfb8b16a60be78cc35,84,False,False,5,0,True,59,73,"no structured data (opportunity, not search requirement)",en,200,Learn how the compiler and language service produce diagnostics and editor feedback.,0,0,False,2,200,,,True,"Compiler, language service & LSP · TypeScript Course",52
