phase,url,source_file,page_type,title,title_length,meta_description,description_length,canonical,robots_directives,lang,author,og_title,og_description,og_url,og_type,og_image,twitter_card,duplicate_title,duplicate_description,issues,breadcrumbs,broken_external_links,broken_internal_links,canonical_target_status,content_hash,external_outbound_links,h1,heading_structure,image_count,indexable,internal_inbound_links,internal_outbound_links,local_status,missing_alt,missing_dimensions,modified_date,orphan,page_depth,production_status,published_date,schema_types,sitemap_included,word_count
baseline,https://typescript.robertdevore.com/builds/application/,content/builds/03-application.md,builds,Build 3: validated HTTP application · TypeScript Course,55,"Build a bounded, observable Node service with a real external boundary and graceful lifecycle.",94,https://typescript.robertdevore.com/builds/application/,,en,,Build 3: validated HTTP application · TypeScript Course,"Build a bounded, observable Node service with a real external boundary and graceful lifecycle.",https://typescript.robertdevore.com/builds/application/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,a3967d6918135923255dcb4868caeae5bca6ae156bcdc6eb712da6b7e139684c,2,Build 3: validated HTTP application,"[[""h1"", ""Build 3: validated HTTP application""], [""h2"", ""The brief""], [""h2"", ""Observable contract""], [""h2"", ""Milestone 1 \u2014 Parse startup configuration""], [""h2"", ""Milestone 2 \u2014 Build a trustworthy client""], [""h2"", ""Milestone 3 \u2014 Own application concurrency""], [""h2"", ""Milestone 4 \u2014 Make errors and logs useful""], [""h2"", ""Milestone 5 \u2014 Shut down gracefully""], [""h2"", ""Milestone 6 \u2014 Test both seams and real HTTP""], [""h2"", ""Type-checker and runtime drills""], [""h2"", ""Production review""], [""h2"", ""Completion checkpoint""]]",0,True,57,72,200,0,0,,False,2,200,,,True,933
baseline,https://typescript.robertdevore.com/search/,scripts/build.mjs,search,Search the course · TypeScript Course,37,"Search TypeScript concepts, compiler errors, and practical reference topics.",76,https://typescript.robertdevore.com/search/,"noindex,follow",en,,Search the course · TypeScript Course,"Search TypeScript concepts, compiler errors, and practical reference topics.",https://typescript.robertdevore.com/search/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,,False,0,0,200,25119ca17d489a1f3680996f34b7bd73cbc3a56c46f8f3be35ea1788fef701fb,2,Search the course.,"[[""h1"", ""Search the course.""]]",0,False,101,19,200,0,0,,False,1,200,,,False,35
baseline,https://typescript.robertdevore.com/lessons/generics/,content/lessons/11-generics.md,lessons,Generics & type relationships · TypeScript Course,49,Design reusable functions whose outputs retain useful information about their inputs.,85,https://typescript.robertdevore.com/lessons/generics/,,en,,Generics & type relationships · TypeScript Course,Design reusable functions whose outputs retain useful information about their inputs.,https://typescript.robertdevore.com/lessons/generics/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,7a2952e3e331c430027fd2fdb7c10623bd9a59fc10c3ea2a486feba1d5134a4d,4,Generics & type relationships,"[[""h1"", ""Generics & type relationships""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",0,True,59,73,200,0,0,,False,2,200,,,True,829
baseline,https://typescript.robertdevore.com/lessons/publishing/,content/lessons/28-publishing.md,lessons,Publishing typed packages · TypeScript Course,45,"Test the tarball that consumers install, including exports, declarations, and compatibility.",92,https://typescript.robertdevore.com/lessons/publishing/,,en,,Publishing typed packages · TypeScript Course,"Test the tarball that consumers install, including exports, declarations, and compatibility.",https://typescript.robertdevore.com/lessons/publishing/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,7360532a5bc25bd2b3359d107a68a2e6e3b2ff831acda852f5b7b4c2e8f783dc,5,Publishing typed packages,"[[""h1"", ""Publishing typed packages""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""Runtime and package-manager reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Package workflow""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,59,74,200,0,0,,False,2,200,,,True,727
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,content/lessons/13-mapped-types.md,lessons,Mapped types · TypeScript Course,32,Transform property types without confusing type changes with runtime changes.,77,https://typescript.robertdevore.com/lessons/mapped-types/,,en,,Mapped types · TypeScript Course,Transform property types without confusing type changes with runtime changes.,https://typescript.robertdevore.com/lessons/mapped-types/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,64676c3caa0d40d1c860ac6089c2a1c26924be6206e4e3f102a14265fc0c4aa2,4,Mapped types,"[[""h1"", ""Mapped types""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,57,72,200,0,0,,False,2,200,,,True,789
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,content/lessons/06-interfaces-and-aliases.md,lessons,Interfaces & type aliases · TypeScript Course,45,Choose interfaces or type aliases to suit your data and public APIs.,68,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,,en,,Interfaces & type aliases · TypeScript Course,Choose interfaces or type aliases to suit your data and public APIs.,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,c546909a24a6aa79fc40fdcc777f99de0e2943b1094c8876912cbb55e9ca81e7,4,Interfaces & type aliases,"[[""h1"", ""Interfaces & type aliases""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Common failure modes""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,58,73,200,0,0,,False,2,200,,,True,869
baseline,https://typescript.robertdevore.com/lessons/http-clients/,content/lessons/22-http-clients.md,lessons,HTTP clients & external APIs · TypeScript Course,48,"Build an HTTP client that checks responses and handles failures, retries, and cancellation.",91,https://typescript.robertdevore.com/lessons/http-clients/,,en,,HTTP clients & external APIs · TypeScript Course,"Build an HTTP client that checks responses and handles failures, retries, and cancellation.",https://typescript.robertdevore.com/lessons/http-clients/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,86799000917bde154156b357b902df8c0560f31d9880d550d978c902a87c0538,4,HTTP clients & external APIs,"[[""h1"", ""HTTP clients & external APIs""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript and HTTP reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Retry, pagination, and rate limits""], [""h2"", ""Runtime drill""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,57,72,200,0,0,,False,2,200,,,True,810
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,content/lessons/31-javascript-migration.md,lessons,Migrating JavaScript safely · TypeScript Course,47,"Adopt TypeScript a step at a time with checked JavaScript, JSDoc, and typed boundaries.",87,https://typescript.robertdevore.com/lessons/javascript-migration/,,en,,Migrating JavaScript safely · TypeScript Course,"Adopt TypeScript a step at a time with checked JavaScript, JSDoc, and typed boundaries.",https://typescript.robertdevore.com/lessons/javascript-migration/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,4becacf50c124014637fd59a02f4b822ea35699eee7c0dc29ed58b75e907c861,5,Migrating JavaScript safely,"[[""h1"", ""Migrating JavaScript safely""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""A gradual configuration""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,58,73,200,0,0,,False,2,200,,,True,716
baseline,https://typescript.robertdevore.com/lessons/variance/,content/lessons/17-variance.md,lessons,Variance & function compatibility · TypeScript Course,53,Debug callback assignability using the values an implementation can actually handle.,84,https://typescript.robertdevore.com/lessons/variance/,,en,,Variance & function compatibility · TypeScript Course,Debug callback assignability using the values an implementation can actually handle.,https://typescript.robertdevore.com/lessons/variance/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,0eef2308430adefd9561d2982e23348e4fa9f45d45a03f524476084f46c82ea7,4,Variance & function compatibility,"[[""h1"", ""Variance & function compatibility""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,57,73,200,0,0,,False,2,200,,,True,797
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,content/lessons/10-assertions-const-satisfies.md,lessons,"Assertions, as const & satisfies · TypeScript Course",52,"Compare annotations, assertions, const assertions, and satisfies.",65,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,,en,,"Assertions, as const & satisfies · TypeScript Course","Compare annotations, assertions, const assertions, and satisfies.",https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,82a8326f585b78039199f6791eb96ebea377d0912bc96fde5301d02aa4ade2f6,4,"Assertions, as const & satisfies","[[""h1"", ""Assertions, as const & satisfies""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",0,True,58,73,200,0,0,,False,2,200,,,True,781
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,content/lessons/27-declaration-files.md,lessons,Declaration files · TypeScript Course,37,"Read, write, and test declaration files that describe JavaScript APIs.",70,https://typescript.robertdevore.com/lessons/declaration-files/,,en,,Declaration files · TypeScript Course,"Read, write, and test declaration files that describe JavaScript APIs.",https://typescript.robertdevore.com/lessons/declaration-files/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,e90cfa00e7b27ff5b586e9089a4c7750631a378ade0a2173cc19f3505e00ba67,5,Declaration files,"[[""h1"", ""Declaration files""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",0,True,58,73,200,0,0,,False,2,200,,,True,789
baseline,https://typescript.robertdevore.com/lessons/compiler-tooling/,content/lessons/35-compiler-tooling.md,lessons,"Compiler, language service & LSP · TypeScript Course",52,Learn how the compiler and language service produce diagnostics and editor feedback.,84,https://typescript.robertdevore.com/lessons/compiler-tooling/,,en,,"Compiler, language service & LSP · TypeScript Course",Learn how the compiler and language service produce diagnostics and editor feedback.,https://typescript.robertdevore.com/lessons/compiler-tooling/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,ce16578dee2a9590149e95ee75acf5767186f985d176d1dfb8b16a60be78cc35,5,"Compiler, language service & LSP","[[""h1"", ""Compiler, language service & LSP""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript and tooling reality""], [""h2"", ""TypeScript 7 model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",0,True,59,73,200,0,0,,False,2,200,,,True,748
baseline,https://typescript.robertdevore.com/lessons/runtime-validation/,content/lessons/20-runtime-validation.md,lessons,Runtime validation & trusted boundaries · TypeScript Course,59,Parse external data before using it as a trusted application value.,67,https://typescript.robertdevore.com/lessons/runtime-validation/,,en,,Runtime validation & trusted boundaries · TypeScript Course,Parse external data before using it as a trusted application value.,https://typescript.robertdevore.com/lessons/runtime-validation/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,5bdf695b488dc9b866376f4d4bf818c76e8a69936c3077b28f5dab94c2683c02,4,Runtime validation & trusted boundaries,"[[""h1"", ""Runtime validation & trusted boundaries""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,59,72,200,0,0,,False,1,200,,,True,807
baseline,https://typescript.robertdevore.com/lessons/library-design/,content/lessons/26-library-design.md,lessons,Designing library APIs · TypeScript Course,42,"Build APIs with useful inference, clear diagnostics, and stable behavior.",73,https://typescript.robertdevore.com/lessons/library-design/,,en,,Designing library APIs · TypeScript Course,"Build APIs with useful inference, clear diagnostics, and stable behavior.",https://typescript.robertdevore.com/lessons/library-design/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,8c355f3e932974398bc9db343f31754fbed5fd77d4a140b30a1c89744ff5a9bc,4,Designing library APIs,"[[""h1"", ""Designing library APIs""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""], [""h2"", ""Type explorer""]]",0,True,59,73,200,0,0,,False,1,200,,,True,746
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,content/lessons/15-template-literal-types.md,lessons,Template literal types · TypeScript Course,42,Define event names and route patterns with string literal types.,64,https://typescript.robertdevore.com/lessons/template-literal-types/,,en,,Template literal types · TypeScript Course,Define event names and route patterns with string literal types.,https://typescript.robertdevore.com/lessons/template-literal-types/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,068f38b950e195d5042ebb30ff5c4d68443b5467356eb0426023a8fe91989bad,3,Template literal types,"[[""h1"", ""Template literal types""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""JavaScript reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,57,72,200,0,0,,False,2,200,,,True,678
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,content/lessons/18-tsconfig.md,lessons,Configuring TypeScript · TypeScript Course,42,"Choose compiler settings for your runtime, build, and packages.",63,https://typescript.robertdevore.com/lessons/tsconfig/,,en,,Configuring TypeScript · TypeScript Course,"Choose compiler settings for your runtime, build, and packages.",https://typescript.robertdevore.com/lessons/tsconfig/,website,https://typescript.robertdevore.com/assets/social.png,summary_large_image,False,False,"no structured data (opportunity, not search requirement)",False,0,0,200,9b24503b7440df64c5aea64d3e5833143ba5627b4844173d99b302808b428918,4,Configuring TypeScript,"[[""h1"", ""Configuring TypeScript""], [""h2"", ""Where you are""], [""h2"", ""Mental model""], [""h2"", ""Runtime and tooling reality""], [""h2"", ""TypeScript model""], [""h2"", ""Working example""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime drill""], [""h2"", ""Professional pattern""], [""h2"", ""Exercise""], [""h2"", ""Checkpoint""], [""h2"", ""Sources""]]",0,True,59,72,200,0,0,,False,1,200,,,True,788
